sheet_id,workbook_file_id,sheet_name,visibility,used_range,print_area,named_ranges,external_links,detected_project_id,detected_customer,detected_project_name,detected_date,detected_revision,stale_template_status,stale_evidence,generator_eligibility,approved_by,approval_time,parse_status,notes
SRC-ALL-PROJECTS-FILE-93321A6F0166-SHEET-001,SRC-ALL-PROJECTS-FILE-93321A6F0166,未填,visible,A1:Q166,,,,1150404,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150404
SRC-ALL-PROJECTS-FILE-93321A6F0166-SHEET-002,SRC-ALL-PROJECTS-FILE-93321A6F0166,原材料清單,visible,A1:I598,,,,1120420,,,115/4/28,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1120420|1800000
SRC-ALL-PROJECTS-FILE-FCF434C44C55-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-FCF434C44C55,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-A6DFD4AD4DD0-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-A6DFD4AD4DD0,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-6D49260282E5-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-6D49260282E5,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-004DB8D3EE03-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-004DB8D3EE03,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-1E8DB8094176-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-1E8DB8094176,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-B93A0B045A29-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-B93A0B045A29,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-6233F640B6E3-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-6233F640B6E3,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-68B282F5ADAA-SHEET-001,SRC-ALL-PROJECTS-FILE-68B282F5ADAA,未填,visible,A1:Q12,,,,1150501,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150501
SRC-ALL-PROJECTS-FILE-68B282F5ADAA-SHEET-002,SRC-ALL-PROJECTS-FILE-68B282F5ADAA,原材料清單,visible,A1:AA48,,,,,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-090C3E606625-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-090C3E606625,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
SRC-ALL-PROJECTS-FILE-A95FF65E6F74-SHEET-001,SRC-ALL-PROJECTS-FILE-A95FF65E6F74,報價,visible,A1:AA48,,,,,,,,,INSUFFICIENT_IDENTITY,"順大電機股份有限公司 配電盤報價材料明細表 客戶： 顯茂 品名： 地震儀用插座盤 項次 品名規格 單位 數量 單價 總價 備註 地震儀用插座盤 CASE 400W*400H*200Dmm 屋內壁掛盤 SPHC 2.0mm/t 粉體5Y7-1 只 1 3000 =SUM(D7*E7) NFB  1P 100AF 20AT 110V 10KA  只 1 250 =SUM(D8*E8) BHU 雙孔插座附接地含鋁製明盒 只 1 500 =SUM(D9*E9) 鋁製明盒-蓋板 只 1 300 =SUM(D10*E10) 五金固定,電線,支持礙子,配盤另料 式 1 1500 =SUM(D11*E11) ",HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-E83FD9D96C15-SHEET-001,SRC-ALL-PROJECTS-FILE-E83FD9D96C15,報價,visible,A1:AA48,,,,,,,,,INSUFFICIENT_IDENTITY,"順大電機股份有限公司 配電盤報價材料明細表 客戶： 顯茂 品名： 地震儀用插座盤 項次 品名規格 單位 數量 單價 總價 備註 地震儀用插座盤 CASE 400W*400H*200Dmm 屋內壁掛盤 SPHC 2.0mm/t 粉體5Y7-1 只 1 1100 =SUM(D7*E7) NFB  1P 100AF 20AT 110V 10KA  只 1 95 =SUM(D8*E8) BHU 雙孔插座附接地含鋁製明盒 只 1 235 =SUM(D9*E9) 鋁製明盒-蓋板 只 1 163 =SUM(D10*E10) 五金固定,電線,支持礙子,配盤另料 式 1 1000 =SUM(D11*E11) 原",HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-E3F8CE6089E3-SHEET-001,SRC-ALL-PROJECTS-FILE-E3F8CE6089E3,未填,visible,A1:Q12,,,,1150502,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150502
