台灣自來水股份有限公司第三區管理處,,,,,,,,
材料清單,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
工程名稱,新竹縣富百田社區開發供水機電工程,,,會計科目,,,,
施工地點,新竹縣,,,工程編號,WQ11031101,,,
項 次,項  目  及  說  明,單 位,數 量,單 價,複 價,,,編碼(備註)
<一>,　施工費：(發包部份),,  ,,,,,
<A>,　　施工費(項目),,  ,,,,,
<1>,　　　竹北營運所,,  ,,,,,
27,控制開關，(選擇開關，保持型(不復歸))，三段,只, 7.00 , 320 ," 2,240 ", 富士 , AR30PR ,詳圖說或規範
28,控制開關，照光按鈕開關,只, 10.00 , 500 ," 5,000 ", 富士 , AR30EOL ,詳圖說或規範
29,指示燈，30mmφ,只, 5.00 , 320 ," 1,600 ", 富士 , DR30DOL ,詳圖說或規範
30,輔助電驛組,式, 1.00 ," 6,200 "," 6,200 ",,,詳規範，配合設備運轉控制功能
31,直接啟動器，1∮220V，1HP級W/TH-RY,組, 1.00 ," 1,000 "," 1,000 ", 富士 , SW-05 ,詳圖說或規範
32,"LED屋外投光燈具，110/220V，≧90Lm/W，9,000Lm，晝光色或燈泡色",組, 1.00 ,, 不含估價 ,,,含固定架、自動點滅器等
33,TR 1∮220V/110V 2KVA(模鑄式),只, 1.00 ," 10,500 "," 10,500 ", 固大 , KT1-2KAE ,(含工料)
34,中央監視主控制設備，不斷電系統，ON LINE，1kVA,只, 1.00 ,, 不含估價 ,,,詳規範
35,防雷電源突波接地型三連插座-≧15A,只, 1.00 , 900 , 900 ,,,
36,電力監視及控制設備，電源供應器,只, 1.00 ,, 不含估價 ,,,110V/24DC，≧300W
37,訊號隔離分配器,只, 2.00 ,, 不含估價 ,,,
38,水壓計,只, 2.00 ,, 不含估價 ,,,詳規範
39,水壓計，LED指示器(四位數以上不含小數位),只, 2.00 ,, 不含估價 ,,,詳規範
40,壓力引接分水鞍等,處, 2.00 ,, 不含估價 ,,,
41,"不銹鋼管1/2""×2m/m(含接頭用另件)",M, 40.00 ,, 不含估價 ,,,
42,"銅質止水凡而1/2""",只, 8.00 ,, 不含估價 ,,,
43,水位計，LED指示器(四位數以上不含小數位),只, 1.00 ,, 不含估價 ,,,詳規範
44,水位計，壓力式,只, 1.00 ,, 不含估價 ,,,詳規範
45,中央監視主控制設備，現場數位控制器，PLC基座,只, 1.00 ,, 不含估價 ,,,詳規範
46,中央監視主控制設備，現場數位控制器，PLC電源模組,只, 1.00 ,, 不含估價 ,,,詳規範
