rank,project_id,candidate_status,candidate_status_reasons,reference_availability,detected_output_types,workbook_candidate_count,candidate_permitted_input_count,current_cohort,previous_screening_status,previous_bundle_status,total_score
47,1120701,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,4,4,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,81.903619
48,1140901,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,4,4,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,81.850658
49,1130702,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,81.62321
50,1120104,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,3,3,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,81.230514
51,1140204,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,3,3,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,81.05445
52,1121002,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,80.808964
53,1120601,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,80.593452
54,1130308,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,3,3,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,80.319338
55,1130606,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,80.067842
56,1150301,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,79.932388
57,1131007,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,79.780589
58,1130806,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,4,4,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,79.540459
59,1150202,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,79.492284
